,distance,moving_time,start_date_local,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,ftp
136,3970.6,735,2023-05-27T19:25:23Z,119.9,163.0,572.0,0.0,0.0,0.0,
137,3915.3,705,2023-05-27T12:42:50Z,113.5,289.0,416.0,0.0,0.0,0.0,
138,63599.6,9178,2023-05-27T05:52:40Z,146.4,376.0,5507.0,2895.0,400.0,0.0,
139,18119.6,2829,2023-05-26T16:54:36Z,124.9,519.0,2310.0,0.0,0.0,0.0,
140,1771.3,363,2023-05-25T21:03:22Z,106.3,301.0,62.0,0.0,0.0,0.0,
141,1577.8,325,2023-05-25T15:41:59Z,111.3,201.0,124.0,0.0,0.0,0.0,
142,6638.0,1160,2023-05-24T21:06:02Z,120.7,518.0,642.0,0.0,0.0,0.0,
143,1858.6,372,2023-05-24T15:40:53Z,102.0,349.0,23.0,0.0,0.0,0.0,
144,1917.7,355,2023-05-23T21:02:49Z,111.4,183.0,172.0,0.0,0.0,0.0,
145,1554.2,293,2023-05-23T15:48:06Z,97.5,217.0,76.0,0.0,0.0,0.0,
146,48631.4,6765,2023-05-23T09:47:34Z,133.4,268.0,6497.0,0.0,0.0,0.0,
147,1974.0,375,2023-05-22T21:02:19Z,108.7,268.0,107.0,0.0,0.0,0.0,
148,1568.3,338,2023-05-22T15:45:56Z,100.5,290.0,48.0,0.0,0.0,0.0,
149,3957.6,752,2023-05-21T23:24:17Z,116.8,244.0,508.0,0.0,0.0,0.0,
150,3937.6,680,2023-05-21T20:44:57Z,117.8,236.0,444.0,0.0,0.0,0.0,
151,38476.1,5751,2023-05-21T10:16:03Z,123.1,847.0,4888.0,16.0,0.0,0.0,
152,61369.8,8086,2023-05-20T10:14:22Z,147.3,181.0,4326.0,3402.0,177.0,0.0,
153,4676.7,747,2023-05-20T00:57:38Z,120.2,292.0,420.0,35.0,0.0,0.0,
154,2444.3,398,2023-05-19T21:04:39Z,124.2,176.0,178.0,44.0,0.0,0.0,
155,1568.1,312,2023-05-19T15:48:45Z,124.8,24.0,288.0,0.0,0.0,0.0,
156,42876.1,5832,2023-05-19T09:39:43Z,144.0,767.0,2088.0,2963.0,14.0,0.0,
