,distance,moving_time,start_date_local,average_watts,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,Power Zone 1,Power Zone 2,Power Zone 3,Power Zone 4,Power Zone 5,Power Zone 6,Power Zone 7,Power Zone 8,Power Zone 9,Power Zone 10,Power Zone 11,ftp
123,3924.7,755,2023-06-03T11:39:18Z,100.6,117.4,278.0,477.0,0.0,0.0,0.0,185.0,111.0,217.0,67.0,80.0,27.0,10.0,13.0,19.0,17.0,9.0,
124,1598.2,321,2023-06-02T21:02:04Z,48.1,99.1,319.0,2.0,0.0,0.0,0.0,84.0,85.0,131.0,14.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,
125,1641.8,345,2023-06-02T15:46:16Z,69.3,107.5,305.0,40.0,0.0,0.0,0.0,84.0,114.0,76.0,35.0,15.0,4.0,3.0,3.0,2.0,4.0,5.0,
126,105130.0,14016,2023-06-02T05:21:43Z,148.6,144.5,273.0,9690.0,3113.0,940.0,0.0,1607.0,988.0,2768.0,2714.0,2287.0,1335.0,972.0,453.0,529.0,181.0,182.0,
127,1801.6,349,2023-06-01T21:15:37Z,55.0,96.7,347.0,2.0,0.0,0.0,0.0,92.0,92.0,130.0,21.0,6.0,1.0,2.0,2.0,0.0,1.0,2.0,
128,1544.9,319,2023-06-01T15:38:38Z,62.1,111.0,237.0,82.0,0.0,0.0,0.0,49.0,113.0,104.0,29.0,14.0,5.0,2.0,0.0,1.0,0.0,2.0,
129,1933.5,416,2023-05-31T21:05:16Z,42.1,87.9,416.0,0.0,0.0,0.0,0.0,99.0,166.0,117.0,29.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,
130,1577.9,327,2023-05-31T15:43:31Z,66.0,113.5,177.0,150.0,0.0,0.0,0.0,53.0,100.0,104.0,43.0,14.0,6.0,4.0,0.0,0.0,0.0,3.0,
131,53463.2,6842,2023-05-31T05:46:45Z,148.7,140.2,436.0,4611.0,1536.0,259.0,0.0,710.0,449.0,1499.0,1436.0,854.0,672.0,546.0,347.0,219.0,66.0,44.0,
132,1802.2,414,2023-05-30T21:03:08Z,37.5,99.9,414.0,0.0,0.0,0.0,0.0,121.0,177.0,95.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,
133,1614.7,324,2023-05-30T15:41:53Z,64.8,103.8,244.0,80.0,0.0,0.0,0.0,60.0,89.0,116.0,38.0,13.0,3.0,2.0,1.0,1.0,0.0,1.0,
134,23930.4,3808,2023-05-29T06:50:15Z,95.6,133.5,458.0,2764.0,528.0,58.0,0.0,528.0,589.0,1437.0,679.0,139.0,211.0,120.0,15.0,25.0,26.0,39.0,
135,78693.2,10362,2023-05-28T06:20:38Z,147.4,149.0,120.0,5804.0,3112.0,1326.0,0.0,1273.0,858.0,2157.0,2431.0,1027.0,753.0,646.0,449.0,294.0,184.0,290.0,
136,3970.6,735,2023-05-27T19:25:23Z,67.3,119.9,163.0,572.0,0.0,0.0,0.0,163.0,169.0,269.0,82.0,28.0,9.0,2.0,1.0,0.0,2.0,10.0,
137,3915.3,705,2023-05-27T12:42:50Z,127.2,113.5,289.0,416.0,0.0,0.0,0.0,142.0,120.0,183.0,97.0,56.0,17.0,7.0,13.0,14.0,6.0,50.0,
138,63599.6,9178,2023-05-27T05:52:40Z,129.2,146.4,376.0,5507.0,2895.0,400.0,0.0,1278.0,993.0,1975.0,1394.0,1268.0,1320.0,492.0,113.0,231.0,62.0,52.0,
139,18119.6,2829,2023-05-26T16:54:36Z,91.7,124.9,519.0,2310.0,0.0,0.0,0.0,318.0,417.0,1060.0,685.0,94.0,126.0,77.0,36.0,4.0,6.0,6.0,
140,1771.3,363,2023-05-25T21:03:22Z,41.8,106.3,301.0,62.0,0.0,0.0,0.0,97.0,123.0,122.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,
141,1577.8,325,2023-05-25T15:41:59Z,64.6,111.3,201.0,124.0,0.0,0.0,0.0,35.0,118.0,114.0,31.0,19.0,2.0,2.0,1.0,0.0,0.0,3.0,
142,6638.0,1160,2023-05-24T21:06:02Z,72.4,120.7,518.0,642.0,0.0,0.0,0.0,255.0,205.0,408.0,175.0,84.0,22.0,3.0,1.0,3.0,1.0,3.0,
143,1858.6,372,2023-05-24T15:40:53Z,78.3,102.0,349.0,23.0,0.0,0.0,0.0,62.0,101.0,116.0,38.0,30.0,10.0,5.0,2.0,3.0,3.0,2.0,
144,1917.7,355,2023-05-23T21:02:49Z,62.5,111.4,183.0,172.0,0.0,0.0,0.0,92.0,67.0,127.0,36.0,22.0,5.0,2.0,2.0,1.0,0.0,1.0,
145,1554.2,293,2023-05-23T15:48:06Z,67.9,97.5,217.0,76.0,0.0,0.0,0.0,35.0,72.0,134.0,30.0,17.0,3.0,0.0,0.0,0.0,0.0,2.0,
